SKILLSET BREAKDOWN,,,Master copy is Excel file in Dietrich\Careers on main computer ,,,,,,,,,,,,
"as of  Feb. 9, 2024, last updated Jan. 25, 2024",,,YEARS USED AT DIFFERENT JOBS,,,,,,,,,,,,
Skill,LAST USED,TOTAL YEARS USED,ITI,NIS,Magellan,USNR,Mentor,Harland,ProDX,NeumanS.S.,Franklin Revere,"Microsoft '04, SDET","Microsoft '05, ADO prog/wri ",Nexelis/ PacBio,CGI
gmake,1999,0.7,,,,,0.7,,,,,,,,
make,1994,0.4,,,0.4,,,,,,,,,,
nmake,2005,1.1,,,,,0.5,,,,,0.6,,,
SourceSafe,2005,4.8,,,,3,,1,0.6,,,0.2,,,
SourceSafe with IDE integration with Visual Studio,2000,1,,,,,,1,,,,,,,
QVCS,2004,0.6,,,,,,,,0.6,,,,,
PVCS,2000,1,,,,,,1,,,,,,,
CVS,1999,0.9,,,,,0.7,,,,0.2,,,,
WinCVS,2004,0.2,,,,,,,,,0.2,,,,
RCS,1994,1.3,,1,0.3,,,,,,,,,,
SourceTools (Oregon Software),1988,2,2,,,,,,,,,,,,
VMS CMS,1991,3,3,,,,,,,,,,,,
Source Depot,2005,1.2,,,,,,,,,,1,0.2,,
Perforce,2023,15.4,,,,,,,,,,,,13.5,1.9
Git,2024,0.6,,,,,,,,,,,,,0.6
,,,,,,,,,,,,,,,
NETWORKS,,,,,,,,,,,,,,,
Serial port,2023,0.5,,,,,,,,,,,,,0.5
TCP-IP,2023,3.8,,,,2.5,,,0.3,,,,,,1
WinInet,2001,0.3,,,,,,,0.3,,,,,,
COM,2023,6.8,,,,,,0.8,0.3,,,0.2,,5,0.5
DCOM,2001,1.1,,,,,,0.8,0.3,,,,,,
QNX,1994,0.6,,,0.6,,,,,,,,,,
DECNET,1993,2,1,1,,,,,,,,,,,
Novell,1993,2.5,1.5,1,,,,,,,,,,,
Ethernet,1998,2.5,,,,2.5,,,,,,,,,
,,,,,,,,,,,,,,,
APPLICATIONS,,,,,,,,,,,,,,,
MS Word,2024,32.4,3,1.8,0.6,3.2,0.7,1.3,0.6,1.5,0.3,1,0.3,15.5,2.6
MS Excel,2024,21.7,,,,0.3,0.3,0.2,0.2,1.5,0.1,1,",3",15.5,2.6
